qnum,question,A,B,C,D,E,correct,n_choices
197,"A user has an application that writes a new file to a cloud storage location every 5 minutes.
What would be the MOST efficient way to get the files into Snowflake ?",Create a task that runs a COPY INTO operation from an external stage every 5 minutes.,Create a task that PUTS the files in an internal stage and automate the data loading wizard.,Create a task that runs a GET operation to intermittently check for new files.,Set up cloud provider notifications on the file location and use Snowpipe with auto-ingest.,,['D'],4
198,What affects whether the query results cache can be used?,If the query contains a deterministic function,If the virtual warehouse has been suspended,If the referenced data in the table has changed,If multiple users are using the same virtual warehouse,,['C'],4
199,"Which of the following is an example of an operation that can be completed without requiring compute, assuming no queries hav e been
executed previously?",SELECT SUM (ORDER_AMT) FROM SALES;,SELECT AVG(ORDER_QTY) FROM SALES;,SELECT MIN(ORDER_AMT) FROM SALES;,SELECT ORDER_AMT * ORDER_QTY FROM SALES;,,['C'],4
200,How many days is load history for Snowpipe retained?,1 day,7 days,14 days,64 days,,['C'],4
201,What Snowflake features allow virtual warehouses to handle high concurrency workloads? (Choose two.),The ability to scale up warehouses,The use of warehouse auto scaling,The ability to resize warehouses,Use of multi-clustered warehouses,The use of warehouse indexing,"['B', 'D']",5
202,Which COPY INTO command outputs the data into one file?,SINGLE=TRUE,MAX_FILE_NUMBER=1,FILE_NUMBER=1,MULTIPLE=FALSE,,['A'],4
203,In which scenarios would a user have to pay Cloud Services costs? (Choose two.),Compute Credits = 50 Credits Cloud Services = 10,Compute Credits = 80 Credits Cloud Services = 5,Compute Credits = 100 Credits Cloud Services = 9,Compute Credits = 120 Credits Cloud Services = 10,Compute Credits = 200 Credits Cloud Services = 26,"['A', 'E']",5
204,"A user created a new worksheet within the Snowsight UI and wants to share this with teammates.
How can this worksheet be shared?",Create a zero-copy clone of the worksheet and grant permissions to teammates.,Create a private Data Exchange so that any teammate can use the worksheet.,Share the worksheet with teammates within Snowsight .,Create a database and grant all permissions to teammates.,,['C'],4
205,How can a row access policy be applied to a table or a view? (Choose two.),Within the policy DDL,Within the create table or create view DDL,By future APPLY for all objects in a schema,Within a control table,Using the command ALTER [object] ADD ROW ACCESS POLICY [policy];,"['B', 'E']",5
206,Which command can be used to load data files into a Snowflake stage?,JOIN,COPY INTO,PUT,GET,,['C'],4
207,What types of data listings are available in the Snowflake Data Marketplace? (Choose two.),Reader,Consumer,Vendor,Standard,Personalized,"['D', 'E']",5
208,What is the maximum Time Travel retention period for a temporary Snowflake table?,90 days,1 day,7 days,45 days,,['B'],4
209,When should a multi-cluster warehouse be used in auto-scaling mode?,When it is unknown how much compute power is needed,If the select statement contains a large number of temporary tables or Common Table Expressions (CTEs),If the runtime of the executed query is very slow,When a large number of concurrent queries are run on the same warehouse,,['D'],4
210,What happens when a cloned table is replicated to a secondary database? (Choose two.),A read-only copy of the cloned tables is stored.,The replication will not be successful.,The physical data is replicated.,Additional costs for storage are charged to a secondary account.,Metadata pointers to cloned tables are replicated.,"['C', 'D']",5
211,Snowflake supports the use of external stages with which cloud platforms? (Choose three.),Amazon Web Services,Docker,IBM Cloud,Microsoft Azure Cloud,"Google Cloud Platform
F. Oracle Cloud","['A', 'D', 'E']",5
212,What is a limitation of a Materialized View?,A Materialized View cannot support any aggregate functions,A Materialized View can only reference up to two tables,A Materialized View cannot be joined with other tables,A Materialized View cannot be defined with a JOIN,,['D'],4
213,"In the Snowflake access control model, which entity owns an object by default?",The user who created the object,The SYSADMIN role,Ownership depends on the type of object,The role used to create the object,,['D'],4
214,What is the minimum Snowflake edition required to use Dynamic Data Masking?,Standard,Enterprise,Business Critical,Virtual Private Snowflake,,['B'],4
215,Which services does the Snowflake Cloud Services layer manage? (Choose two.),Compute resources,Query execution,Authentication,Data storage,Metadata,"['C', 'E']",5
216,"A company needs to allow some users to see Personally Identifiable Information (PII) while limiting other users from seeing the full
value of the PII.
Which Snowflake feature will support this?",Row access policies,Data masking policies,Data encryption,Role based access control,,['B'],4
217,"A user has unloaded data from a Snowflake table to an external stage.
Which command can be used to verify if data has been uploaded to the external stage named my_stage?",view @my_stage,list @my_stage,show @my_stage,display @my_stage,,['B'],4
218,Which tasks are performed in the Snowflake Cloud Services layer? (Choose two.),Management of metadata,Computing the data,Maintaining Availability Zones,Infrastructure security,Parsing and optimizing queries,"['A', 'E']",5
219,What is true about sharing data in Snowflake ? (Choose two.),The Data Consumer pays for data storage as well as for data computing.,"The shared data is copied into the Data Consumer account, so the Consumer can modify it without impacting the base data of
the Provider.",A Snowflake account can both provide and consume shared data.,The Provider is charged for compute resources used by the Data Consumer to query the shared data.,The Data Consumer pays only for compute resources to query the shared data.,"['C', 'E']",5
220,"The following JSON is stored in a VARIANT column called src of the CAR_SALES table:
A user needs to extract the dealership information from the JSON.
How can this be accomplished?",select src:dealership from car_sales;,select src.dealership from car_sales;,select src:Dealership from car_sales;,select dealership from car_sales;,,['A'],4
221,Which of the following significantly improves the performance of selective point lookup queries on a table?,Clustering,Materialized Views,Zero-copy Cloning,Search Optimization Service,,['D'],4
222,Which of the following accurately describes shares?,"Tables, secure views, and secure UDFs can be shared",Shares can be shared,Data consumers can clone a new table from a share,Access to a share cannot be revoked once granted,,['A'],4
223,What are best practice recommendations for using the ACCOUNTADMIN system -defined role in Snowflake ? (Choose two.),Ensure all ACCOUNTADMIN roles use Multi-factor Authentication (MFA).,All users granted ACCOUNTADMIN role must be owned by the ACCOUNTADMIN role.,The ACCOUNTADMIN role must be granted to only one user.,"Assign the ACCOUNTADMIN role to at least two users, but as few as possible.",All users granted ACCOUNTADMIN role must also be granted SECURITYADMIN role.,"['A', 'D']",5
224,"In the query pro filer view for a query, which components represent areas that can be used to help optimize query performance? (Choose
two.)",Bytes scanned,Bytes sent over the network,Number of partitions scanned,Percentage scanned from cache,External bytes scanned,"['A', 'C']",5
225,What is the minimum Snowflake edition required for row level security?,Standard,Enterprise,Business Critical,Virtual Private Snowflake,,['B'],4
226,What is the minimum Fail-safe retention time period for transient tables?,1 day,7 days,12 hours,0 days,,['D'],4
227,What is a machine learning and data science partner within the Snowflake Partner Ecosystem?,Informatica,Power BI,Adobe,Data Robot,,['D'],4
228,Which statements are correct concerning the leveraging of third-party data from the Snowflake Data Marketplace? (Choose two.),"Data is live, ready-to-query, and can be personalized.",Data needs to be loaded into a cloud provider as a consumer account.,Data is not available for copying or moving to an individual Snowflake account.,Data is available without copying or moving.,Data transformations are required when combining Data Marketplace datasets with existing data in Snowflake .,"['A', 'D']",5
229,What impacts the credit consumption of maintaining a materialized view? (Choose two.),Whether or not it is also a secure view,How often the underlying base table is queried,How often the base table changes,Whether the materialized view has a cluster key defined,How often the materialized view is queried,"['C', 'D']",5
230,What COPY INTO SQL command should be used to unload data into multiple files?,SINGLE=TRUE,MULTIPLE=TRUE,MULTIPLE=FALSE,SINGLE=FALSE,,['D'],4
231,"When cloning a database containing stored procedures and regular views, that have fully quali fied table references, which of the
following will occur?",The cloned views and the stored procedures will reference the cloned tables in the cloned database.,"An error will occur, as views with qualified references cannot be cloned.","An error will occur, as stored objects cannot be cloned.",The stored procedures and views will refer to tables in the source database.,,['D'],4
232,"When loading data into Snowflake , how should the data be organized?",Into single files with 100-250 MB of compressed data per file,Into single files with 1-100 MB of compressed data per file,Into files of maximum size of 1 GB of compressed data per file,Into files of maximum size of 4 GB of compressed data per file,,['A'],4
233,Which of the following objects can be directly restored using the UNDROP command? (Choose two.),Schema,View,Internal stage,Table,"User
F. Role","['A', 'D']",5
234,Which Snowflake SQL statement would be used to determine which users and roles have access to a role called MY_ROLE?,SHOW GRANTS OF ROLE MY_ROLE,SHOW GRANTS TO ROLE MY_ROLE,SHOW GRANTS FOR ROLE MY_ROLE,SHOW GRANTS ON ROLE MY_ROLE,,['A'],4
235,What is the MINIMUM edition of Snowflake that is required to use a SCIM security integration?,Business Critical Edition,Standard Edition,Virtual Private Snowflake (VPS),Enterprise Edition,,['B'],4
236,"A user created a transient table and made several changes to it over the course of several days. Three days after the table was created,
the user would like to go back to the first version of the table.
How can this be accomplished?","Use Time Travel, as long as DATA_RETENTION_TIME_IN_DAYS was set to at least 3 days.",The transient table version cannot be retrieved after 24 hours.,Contact Snowflake Support to have the data retrieved from Fail-safe storage.,Use the FAIL_SAFE parameter for Time Travel to retrieve the data from Fail-safe storage.,,['B'],4
237,"When reviewing the load for a warehouse using the load monitoring chart, the chart indicates that a high volume of queries is always
queuing in the warehouse.
According to recommended best practice, what should be done to reduce the queue volume? (Choose two.)",Use multi-clustered warehousing to scale out warehouse capacity.,Scale up the warehouse size to allow queries to execute faster.,Stop and start the warehouse to clear the queued queries.,Migrate some queries to a new warehouse to reduce load.,Limit user access to the warehouse so fewer queries are run against it.,"['A', 'B']",5
238,"Which of the following features, associated with Continuous Data Protection (CDP), require additional Snowflake -provided data
storage? (Choose two.)",Tri-Secret Secure,Time Travel,Fail-safe,Data encryption,External stages,"['B', 'C']",5
239,Where can a user find and review the failed logins of a specific user for the past 30 days?,The USERS view in ACCOUNT_USAGE,The LOGIN_HISTORY view in ACCOUNT_USAGE,The ACCESS_HISTORY view in ACCOUNT_USAGE,The SESSIONS view in ACCOUNT_USAGE,,['B'],4
240,What is the purpose of an External Function?,To call code that executes outside of Snowflake,To run a function in another Snowflake database,To share data in Snowflake with external parties,To ingest data from on-premises data sources,,['A'],4
241,Which of the following statements apply to Snowflake in terms of security? (Choose two.),Snowflake leverages a Role-Based Access Control (RBAC) model.,Snowflake requires a user to configure an IAM user to connect to the database.,All data in Snowflake is encrypted.,Snowflake can run within a user's own Virtual Private Cloud (VPC).,All data in Snowflake is compressed.,"['A', 'C']",5
242,"A single user of a virtual warehouse has set the warehouse to auto-resume and auto-suspend after 10 minutes. The warehouse is
currently suspended and the user performs the following actions:
1. Runs a query that takes 3 minutes to complete
2. Leaves for 15 minutes
3. Returns and runs a query that takes 10 seconds to complete
4. Manually suspends the warehouse as soon as the last query was completed
When the user returns, how much billable compute time will have been consumed?",4 minutes,10 minutes,14 minutes,24 minutes,,['C'],4
243,What can be used to view warehouse usage over time? (Choose two.),The LOAD HISTORY view,The query history view,The SHOW WAREHOUSES command,The WAREHOUSE_METERING_HISTORY view,The billing and usage tab in the Snowflake web UI,"['D', 'E']",5
244,What actions will prevent leveraging of the ResultSet cache? (Choose two.),Removing a column from the query SELECT list,Stopping the virtual warehouse that the query is running against,Clustering of the data used by the query,Executing the RESULTS_SCAN() table function,Changing a column that is not in the cached query,"['A', 'C']",5
245,Which statement is true about running tasks in Snowflake ?,A task can be called using a CALL statement to run a set of predefined SQL commands.,A task allows a user to execute a single SQL statement/command using a predefined schedule.,A task allows a user to execute a set of SQL commands on a predefined schedule.,A task can be executed using a SELECT statement to run a predefined SQL command.,,['B'],4
246,Which data types does Snowflake support when querying semi-structured data? (Choose two.),VARIANT,VARCHAR,XML,ARRAY,BLOB,"['A', 'D']",5
247,"In an auto-scaling multi-cluster virtual warehouse with the setting SCALING_POLICY = ECONOMY enabled, when is another cluster
started?",When the system has enough load for 2 minutes,When the system has enough load for 6 minutes,When the system has enough load for 8 minutes,When the system has enough load for 10 minutes,,['B'],4
248,"What is the following SQL command used for?
Select * from table(validate(t1, job_id => '_last'));",To validate external table files in table t1 across all sessions,To validate task SQL statements against table t1 in the last 14 days,To validate a file for errors before it gets executed using a COPY command,To return errors from the last executed COPY command into table t1 in the current session,,['D'],4
249,"A sales table FCT_SALES has 100 million records.
The following query was executed:
SELECT COUNT (1) FROM FCT_SALES;
How did Snowflake fulfill this query?",Query against the result set cache,Query against a virtual warehouse cache,Query against the most-recently created micro-partition,Query against the metadata cache,,['D'],4
250,What happens when a virtual warehouse is resized?,"When increasing the size of an active warehouse the compute resource for all running and queued queries on the warehouse are
affected.","When reducing the size of a warehouse the compute resources are removed only when they are no longer being used to execute
any current statements.","The warehouse will be suspended while the new compute resource is provisioned and will resume automatically once
provisioning is complete.",Users who are trying to use the warehouse will receive an error message until the resizing is complete.,,['B'],4
251,What tasks can be completed using the COPY command? (Choose two.),Columns can be aggregated.,Columns can be joined with an existing table.,Columns can be reordered.,Columns can be omitted.,Data can be loaded without the need to spin up a virtual warehouse.,"['C', 'D']",5
252,Which Snowflake layer can be configured?,Database Storage,Cloud Services,Query Processing,Application Services,,['C'],4
253,Query compilation occurs in which architecture layer of the Snowflake Cloud Data Platform?,Compute layer,Storage layer,Cloud infrastructure layer,Cloud services layer,,['D'],4
254,"If a size Small virtual warehouse is made up of two servers, how many servers make up a Large warehouse?",4,8,16,32,,['B'],4
255,"A clustering key was de fined on a table, but it is no longer needed.
How can the key be removed?",ALTER TABLE [TABLE NAME] PURGE CLUSTERING KEY,ALTER TABLE [TABLE NAME] DELETE CLUSTERING KEY,ALTER TABLE [TABLE NAME] DROP CLUSTERING KEY,ALTER TABLE [TABLE NAME] REMOVE CLUSTERING KEY,,['C'],4
256,What is a core benefit of clustering?,To guarantee uniquely identifiable records in the database,To increase scan efficiency in queries by improving pruning,To improve performance by creating a separate file for point lookups,To provide data redundancy by duplicating micro-partitions,,['B'],4
257,Which statement is true about Multi-Factor Authentication (MFA) in Snowflake ?,MFA can be enforced or applied for a given role.,Snowflake users are automatically enrolled in MFA.,Users enroll in MFA by submitting a request to Snowflake Support.,MFA is an integrated Snowflake feature.,,['D'],4
258,What data type should be used to store JSON data natively in Snowflake ?,JSON,String,Object,VARIANT,,['D'],4
259,What should be considered when deciding to use a Secure View? (Choose two.),No details of the query execution plan will be available in the query profiler.,Once created there is no way to determine if a view is secure or not.,Secure views do not take advantage of the same internal optimizations as standard views.,It is not possible to create secure materialized views.,The view definition of a secure view is still visible to users by way of the information schema.,"['A', 'C']",5
260,The information schema provides storage information for which of the following objects? (Choose two.),Users,Databases,Internal stages,Resource monitors,Pipes,"['B', 'C']",5
261,What is a responsibility of Snowflake ’s virtual warehouses?,Infrastructure management,Metadata management,Query execution,Query parsing and optimization,Management of the storage layer,['C'],5
262,Which data type is supported by Snowflake data classification?,Binary,Float,Geography,Variant,,['B'],4
263,"When unloading data to an external stage, which compression format can be used for Parquet files with the COPY INTO command?",BROTLI,GZIP,LZO,ZSTD,,['C'],4
264,Which SQL command can be used to verify the privileges that are granted to a role?,SHOW GRANTS ON ROLE,SHOW ROLES,SHOW GRANTS TO ROLE,SHOW GRANTS FOR ROLE,,['C'],4
265,Which Query Profile result indicates that a warehouse is sized too small?,There are a lot of filter nodes.,Bytes are spilling to external storage.,The number of processed rows is very high.,The number of partitions scanned is the same as partitions total.,,['B'],4
266,What is the default Time Travel retention period?,1 day,7 days,45 days,90 days,,['A'],4
270,Which Snowflake partner category is represented at the top of this diagram (labeled 1)?,Business Intelligence,Machine Learning and Data Science,Security and Governance,Data Integration,,['D'],4
271,Which object types are protected by Fail-safe? (Choose two.),Permanent Tables,Temporary Tables,External Tables,Materialized Views,Transient Tables,"['A', 'D']",5
272,Snowflake 's approach to the management of system access combines which of the following models? (Choose two.),Security Assertion Markup Language (SAML),Role-Based Access Control (RBAC),Identity Access Management (AM),"Create, Read, Update, and Delete (CRUD)","Discretionary Access Control (DAC)
F. Mandatory Access Control (MAC)","['B', 'E']",5
273,"According to Snowflake best practice recommendations, which role should be used to create databases?",ACCOUNTADMIN,SYSADMIN,SECURITYADMIN,USERADMIN,,['B'],4
274,"To add or remove search optimization for a table, a user must have which of the following privileges or roles? (Choose two.)",The MODIFY privilege on the table,The OWNERSHIP privilege on the table,A SECURITYADMIN role,The ADD SEARCH OPTIMIZATION privilege on the schema that contains the table,The SELECT privilege on the table,"['B', 'D']",5
275,"While using a COPY command with a Validation_mode parameter, which of the following statements will return an error?",Statements that insert a duplicate record during a load,Statements that have a specific data type in the source,Statements that have duplicate file names,Statements that transform data during a load,,['D'],4
276,When is the result set cache no longer available? (Choose two.),When another warehouse is used to execute the query,When another user executes the query,When the underlying data has changed,When the warehouse used to execute the query is suspended,When it has been 24 hours since the last query,"['C', 'E']",5
277,What is the recommended file sizing for data loading using Snowpipe ?,"A compressed file size greater than 100 MB, and up to 250 MB","A compressed file size greater than 100 GB, and up to 250 GB","A compressed file size greater than 10 MB, and up to 100 MB","A compressed file size greater than 1 GB, and up to 2 GB",,['A'],4
278,Which statements are true concerning Snowflake ’s underlying cloud infrastructure? (Choose three.),Snowflake data and services are deployed in a single availability zone within a cloud provider’s region.,"Snowflake data and services are available in a single cloud provider and a single region; the use of multiple cloud providers is not
supported.","Snowflake can be deployed in a customer’s private cloud using the customer’s own compute and storage resources for
Snowflake compute and storage.",Snowflake uses the core compute and storage services of each cloud provider for its own compute and storage.,"All three layers of Snowflake ’s architecture (storage, compute, and cloud services) are deployed and managed entirely on a
selected cloud platform.
F. Snowflake data and services are deployed in at least three availability zones within a cloud provider’s region.",,5
279,"A user unloaded a Snowflake table called mytable to an internal stage called mystage.
Which command can be used to view the list of files that has been uploaded to the stage?",list @mytable;,list @%mytable;,list @%mystage;,list @mystage;,,['D'],4
280,What is a best practice after creating a custom role?,Create the custom role using the SYSADMIN role.,Assign the custom role to the SYSADMIN role.,Assign the custom role to the PUBLIC role.,Add _CUSTOM to all custom role names.,,['B'],4
281,"Which is the MINIMUM required Snowflake edition that a user must have if they want to use AWS/Azure Privatelink or Google Cloud
Private Service Connect?",Standard,Premium,Enterprise,Business Critical,,['D'],4
282,Which of the following query profiler variables will indicate that a virtual warehouse is not sized correctly for the query being executed?,Bytes sent over the network,Synchronization,Initialization,Remote spillage,,['D'],4
283,Which of the following Snowflake capabilities are available in all Snowflake editions? (Choose two.),Customer -managed encryption keys through Tri-Secret Secure,Automatic encryption of all data,Up to 90 days of data recovery through Time Travel,Object -level access control,Column -level security to apply data masking policies to tables and views,"['B', 'D']",5
284,A PUT command can be used to stage local files from which Snowflake interface?,SnowSQL,Snowflake classic web interface (UI),Snowsight,.NET driver,,['A'],4
285,Which of the following indicates that it may be appropriate to use a clustering key for a table? (Choose two.),The table contains a column that has very low cardinality.,DML statements that are being issued against the table are blocked.,The table has a small number of micro-partitions.,Queries on the table are running slower than expected.,The clustering depth for the table is large.,"['D', 'E']",5
286,Which cache type is used to cache data output from SQL queries?,Metadata cache,Result cache,Remote cache,Local file cache,,['B'],4
287,Which of the following describes how clustering keys work in Snowflake ?,"Clustering keys update the micro-partitions in place with a full sort, and impact the DML operations.","Clustering keys sort the designated columns over time, without blocking DML operations.","Clustering keys create a distributed, parallel data structure of pointers to a table's rows and columns.",Clustering keys establish a hashed key on each node of a virtual warehouse to optimize joins at run-time.,,['B'],4
288,Which of the following operations require the use of a running virtual warehouse? (Choose two.),Downloading data from an internal stage,Listing files in a stage,Executing a stored procedure,Altering a table,Querying data from a materialized view,"['C', 'E']",5
289,What is used to limit the credit usage of a virtual warehouse within a Snowflake account?,Load monitor,Resource monitor,Query Profile,Stream,,['B'],4
290,What are the benefits of the replication feature in Snowflake ? (Choose two.),Disaster recovery,Time Travel,Fail-safe,Database failover and failback,Data security,"['A', 'D']",5
291,Which of the following roles are recommended to create and manage users and roles? (Choose two.),SYSADMIN,SECURITYADMIN,PUBLIC,ACCOUNTADMIN,USERADMIN,"['B', 'E']",5
292,When can a newly configured virtual warehouse start running SQL queries?,After 50% of the warehouse provisioning has completed,During the time slots defined by the ACCOUNTADMIN,When the warehouse provisioning is completed,After the warehouse replication is completed,,['C'],4
293,What actions will prevent leveraging of the ResultSet cache?,Removing a column from the query SELECT list,Stopping the virtual warehouse that the query is running against,If the result has not been reused within the last 12 hours,Executing the RESULTS_SCAN() table function,,['A'],4
294,Which of the following are benefits of micro-partitioning? (Choose two.),Micro-partitions cannot overlap in their range of values.,Micro-partitions are immutable objects that support the use of Time Travel.,Micro-partitions can reduce the amount of I/O from object storage to virtual warehouses.,Rows are automatically stored in sorted order within micro-partitions.,Micro-partitions can be defined on a schema -by-schema basis.,"['B', 'C']",5
295,Which data type can be used to store geospatial data in Snowflake ?,Variant,Object,Geometry,Geography,,['C'],4
296,"If all virtual warehouse resources are maximized while processing a query workload, what will happen to new queries that are
submitted to the warehouse?",All queries will terminate when the resources are maximized.,The warehouse will scale out automatically,The warehouse will move to a suspended state.,New queries will be queued and executed when capacity is available.,,['D'],4
297,Masking policies can be applied to which of the following Snowflake objects? (Choose two.),A materialized view,A stored procedure,A table,A stream,"A pipe
F. A User-Defined Function (UDF)","['A', 'C']",5
298,What actions are supported by Snowflake resource monitors? (Choose two.),Alert,Notify,Notify and suspend,Abort,Suspend immediately,"['B', 'C']",5
299,"A user executes the following SQL query:
create table SALES_BKP like SALES;
What are the cost implications for processing this query?",Processing costs will be generated based on how long the query takes.,Storage costs will be generated based on the size of the data.,No costs will be incurred as the query will use metadata.,The cost for running the virtual warehouse will be charged by the second.,,['C'],4
300,What is the maximum length of time travel available in the Snowflake Standard Edition?,1 Day,7 Days,30 Days,90 Days,,['A'],4
